Fire Department Name,Fire Department Code,Address,City,State,Zip Code,County Code,County Name,Phone Number,Latitude,Longitude,Location 1,Counties,New York Zip Codes,NYS Municipal Boundaries
SCIO FIRE DEPARTMENT,02023,4359 CNTY RD 10 PO BOX 231,SCIO,NY,14880,02,Allegany,5855932046,42.191917,-77.899663,"{'longitude': '-77.899663', 'latitude': '42.191917'}",2031,911,398
SCIPIO CENTER FIRE DEPARTMENT,06020,3550 ROUTE 34,SCIPIO CENTER,NY,13147,06,Cayuga,3153647323,42.78323,-76.56877,"{'longitude': '-76.56877', 'latitude': '42.78323'}",618,688,76
SCOTIA FIRE DEPARTMENT,47024,148 MOHAWK AVENUE,SCOTIA,NY,12302,47,Schenectady,5183816115,42.826551,-73.96405,"{'longitude': '-73.96405', 'latitude': '42.826551'}",2142,50,120
SCOTTSVILLE FIRE DEPARTMENT,28037,PO BOX 10,SCOTTSVILLE,NY,14546,28,Monroe,5858891900,43.014585,-77.766101,"{'longitude': '-77.766101', 'latitude': '43.014585'}",2093,404,539
SCRANTON FIRE DEPARTMENT,15074,5395 SCRANTON ROAD,HAMBURG,NY,14075,15,Erie,7166484563,42.740062,-78.831937,"{'longitude': '-78.831937', 'latitude': '42.740062'}",2041,527,297
SCRIBA VOLUNTEER FIRE DEPARTMENT,38027,PO BOX 69,LYCOMING,NY,13093,38,Oswego,3153434545,43.49931,-76.38601,"{'longitude': '-76.38601', 'latitude': '43.49931'}",2135,667,240
SEA BREEZE FIRE DEPARTMENT,28038,4657 CULVER ROAD,ROCHESTER,NY,14622,28,Monroe,7163231040,43.233956,-77.543917,"{'longitude': '-77.543917', 'latitude': '43.233956'}",2093,1681,550
SEA CLIFF FIRE DEPARTMENT,30058,67 ROSLYN AVENUE,SEA CLIFF,NY,11579,30,Nassau,5166711690,40.84858,-73.644801,"{'longitude': '-73.644801', 'latitude': '40.84858'}",2094,994,66
SEAFORD FIRE DEPARTMENT,30059,2170 SOUTHARD AVENUE,SEAFORD,NY,11783,30,Nassau,5166796560,40.668533,-73.488599,"{'longitude': '-73.488599', 'latitude': '40.668533'}",2094,1424,54
SELDEN FIRE DEPARTMENT,52097,WOODMERE PLACE PO BOX 2345,SELDEN,NY,11784,52,Suffolk,6317321234,40.864849,-73.040269,"{'longitude': '-73.040269', 'latitude': '40.864849'}",2179,1425,
SELKIRK FIRE DEPARTMENT,01029,126 MAPLE AVENUE,SELKIRK,NY,12158,01,Albany,5184360534,42.53155,-73.795146,"{'longitude': '-73.795146', 'latitude': '42.53155'}",2030,1405,838
SEMPRONIUS FIRE DEPARTMENT,06027,2284 RT 41A,MORAVIA,NY,13118,06,Cayuga,3154962084,42.73971,-76.38689,"{'longitude': '-76.38689', 'latitude': '42.73971'}",618,662,79
SENECA CASTLE FIRE DEPARTMENT,35024,PO BOX 59,SENECA CASTLE,NY,14547,35,Ontario,7165265296,42.82481,-77.09493,"{'longitude': '-77.09493', 'latitude': '42.82481'}",2133,412,803
SENECA FALLS FIRE DEPARTMENT,50012,60 STATE STREET,SENECA FALLS,NY,13148,50,Seneca,3155686100,42.913006,-76.797567,"{'longitude': '-76.797567', 'latitude': '42.913006'}",2144,689,589
SENECA HOSE FIRE DEPARTMENT,15075,2801 SENECA STREET,WEST SENECA,NY,14224,15,Erie,7168255511,42.842497,-78.788963,"{'longitude': '-78.788963', 'latitude': '42.842497'}",2041,159,281
SENECA RIVER FIRE DEPARTMENT,34043,3457 HAYES ROAD,BALDWINSVILLE,NY,13027,34,Onondaga,3156223369,43.125649,-76.272387,"{'longitude': '-76.272387', 'latitude': '43.125649'}",2132,346,509
SENNETT FIRE DEPARTMENT,06021,PO BOX 1524,AUBURN,NY,13021,06,Cayuga,3152523993,42.92239,-76.56369,"{'longitude': '-76.56369', 'latitude': '42.92239'}",618,343,97
SENTINEL HEIGHTS FIRE DEPT,34044,4200 DAVE TILDEN ROAD,JAMESVILLE,NY,13078,34,Onondaga,3154693653,42.974293,-76.120474,"{'longitude': '-76.120474', 'latitude': '42.974293'}",2132,630,707
SETAUKET FIRE DEPARTMENT,52098,26 HULSE ROAD,EAST SETAUKET,NY,11733,52,Suffolk,6319414900,40.941931,-73.104736,"{'longitude': '-73.104736', 'latitude': '40.941931'}",2179,1114,
SHAKER RD-LOUDONVILLE FIRE DEPT,01030,550 ALBANY-SHAKER ROAD,LOUDONVILLE,NY,12211,01,Albany,5184581499,42.715127,-73.784522,"{'longitude': '-73.784522', 'latitude': '42.715127'}",2030,42,808
SHARON SPRINGS FIRE DEPARTMENT,48015,122 FRANCE STREET,SHARON SPRINGS,NY,13459,48,Schoharie,5182842491,42.79223,-74.623328,"{'longitude': '-74.623328', 'latitude': '42.79223'}",629,1372,151
SHAWANGUNK VALLEY VOL FIRE CO,56041,2150 BRUYNSWICK ROAD,WALLKILL,NY,12589,56,Ulster,8458952600,41.61789,-74.15519,"{'longitude': '-74.15519', 'latitude': '41.61789'}",2182,1017,402
SHAWNEE FIRE DEPARTMENT,32022,3747 LOCKPORT RD,SANBORN,NY,14132,32,Niagara,7167313666,43.126701,-78.84099,"{'longitude': '-78.84099', 'latitude': '43.126701'}",2131,1107,143
SHELBY FIRE DEPARTMENT,37014,4677 S GRAVEL RD PO BOX 1,MEDINA,NY,14103,37,Orleans,5857982015,43.22037,-78.38839,"{'longitude': '-78.38839', 'latitude': '43.22037'}",626,934,505
SHELDON FIRE COMPANY,61015,2830 VALLEY VIEW LANE,STRYKERSVILLE,NY,14145,61,Wyoming,7165357524,42.737214,-78.416919,"{'longitude': '-78.416919', 'latitude': '42.737214'}",2186,7,397
SHELTER ISLAND FIRE DEPARTMENT,52099,STATE ROAD 114 PO BOX 613,SHELTER ISLAND,NY,11964,52,Suffolk,6317490184,41.06953,-72.33912,"{'longitude': '-72.33912', 'latitude': '41.06953'}",2179,1647,12
SHERBURNE FIRE DEPARTMENT,09017,15 WEST STATE STREET,SHERBURNE,NY,13460,09,Chenango,6076749560,42.678275,-75.499937,"{'longitude': '-75.499937', 'latitude': '42.678275'}",2037,1373,266
SHERIDAN FIRE DEPARTMENT,07034,2800 ROUTE 20 PO BOX 122,SHERIDAN,NY,14135,07,Chautauqua,7166791212,42.48687,-79.23661,"{'longitude': '-79.23661', 'latitude': '42.48687'}",2035,2,210
SHERIDAN PARK FIRE DEPARTMENT,15076,738 SHERIDAN DRIVE,TONAWANDA,NY,14150,15,Erie,7168731111,42.978902,-78.904686,"{'longitude': '-78.904686', 'latitude': '42.978902'}",2041,8,283
SHERMAN FIRE DEPARTMENT,07035,PO BOX 574  122 PARK ST,SHERMAN,NY,14781,07,Chautauqua,7167616700,42.160705,-79.595068,"{'longitude': '-79.595068', 'latitude': '42.160705'}",2035,1742,209
SHERRILL-KENWOOD FIRE DEPARTMENT,33038,373 SHERRILL ROAD,SHERRILL,NY,13461,33,Oneida,,43.071933,-75.598668,"{'longitude': '-75.598668', 'latitude': '43.071933'}",625,1374,995
SHORTSVILLE FIRE DEPARTMENT,35025,5 SHELDON STREET,SHORTSVILLE,NY,14548,35,Ontario,7162893017,42.955756,-77.220702,"{'longitude': '-77.220702', 'latitude': '42.955756'}",2133,405,812
SHORT TRACT FIRE DEPARTMENT,02024,10355 CO RD 15 PO BOX 105,FILLMORE,NY,14735,02,Allegany,5855678075,42.43816,-78.07038,"{'longitude': '-78.07038', 'latitude': '42.43816'}",2031,1713,461
SHUSHAN FIRE DEPARTMENT,58021,BOX 131,SHUSHAN,NY,12873,58,Washington,5188543954,43.08925,-73.342364,"{'longitude': '-73.342364', 'latitude': '43.08925'}",2184,151,730
SIDNEY CENTER FIRE DEPARTMENT,13025,10433 CO HWAY 23 PO BOX 302,SIDNEY CENTER,NY,13839,13,Delaware,6073697750,42.25079,-75.24796,"{'longitude': '-75.24796', 'latitude': '42.25079'}",2039,457,545
SIDNEY FIRE DEPARTMENT,13024,74 RIVER STREET,SIDNEY,NY,13838,13,Delaware,6075638881,42.312479,-75.399,"{'longitude': '-75.399', 'latitude': '42.312479'}",2039,456,565
SILVER CREEK FIRE DEPARTMENT,07036,172 CENTRAL AVE PO BOX 70,SILVER CREEK,NY,14136,07,Chautauqua,7169343036,42.545033,-79.169914,"{'longitude': '-79.169914', 'latitude': '42.545033'}",2035,2,237
SILVER LAKE FIRE DEPARTMENT,36042,26 MALTESE DRIVE,MIDDLETOWN,NY,10940,36,Orange,8453437131,41.456548,-74.391852,"{'longitude': '-74.391852', 'latitude': '41.456548'}",2134,1540,887
SILVER SPRINGS FIRE DEPARTMENT,61016,43 N MAIN ST PO BOX 333,SILVER SPRINGS,NY,14550,61,Wyoming,7164932600,42.660447,-78.083308,"{'longitude': '-78.083308', 'latitude': '42.660447'}",2186,407,411
SINCLAIRVILLE FIRE DEPARTMENT,07037,30 MAIN ST PO BOX 403,SINCLAIRVILLE,NY,14782,07,Chautauqua,7169622025,42.263965,-79.258937,"{'longitude': '-79.258937', 'latitude': '42.263965'}",2035,1743,220
SIR WILLIAM JOHNSON FIRE DEPT,18016,224 CO HWY 131A,JOHNSTOWN,NY,12095,18,Fulton,5187621220,43.022279,-74.407646,"{'longitude': '-74.407646', 'latitude': '43.022279'}",2085,1238,389
SKANEATELES FIRE DEPARTMENT,34045,77 W GENESEE STREET,SKANEATELES,NY,13152-1065,34,Onondaga,3156853496,42.947581,-76.431953,"{'longitude': '-76.431953', 'latitude': '42.947581'}",2132,690,704
SLATE HILL FIRE DEPARTMENT,36040,PO BOX 3 RTE 284,SLATE HILL,NY,10973,36,Orange,8453557411,41.38822,-74.478368,"{'longitude': '-74.478368', 'latitude': '41.38822'}",2134,1556,885
SLATERVILLE SPRINGS FIRE DEPT,55015,2681 SLATERVILLE ROAD,SLATERVILLE,NY,14881,55,Tompkins,6075396233,42.39376,-76.35908,"{'longitude': '-76.35908', 'latitude': '42.39376'}",2181,912,726
SLINGERLANDS FIRE DEPARTMENT,01031,PO BOX 99,SLINGERLANDS,NY,12159,01,Albany,5184394734,42.62985,-73.862168,"{'longitude': '-73.862168', 'latitude': '42.62985'}",2030,1406,838
SLOAN ACTIVE HOSE FIRE DEPT,15077,55 GATES AVENUE,SLOAN,NY,14212,15,Erie,7168971564,42.826456,-78.848579,"{'longitude': '-78.848579', 'latitude': '42.826456'}",2041,107,295
SLOATSBURG FIRE DEPARTMENT,44015,96 ORANGE TPKE PO BOX 115,SLOATSBURG,NY,10974,44,Rockland,8457535575,41.157664,-74.192375,"{'longitude': '-74.192375', 'latitude': '41.157664'}",628,1557,535
SMALLWOOD-MONGAUP VALLEY FIRE CO,53030,181 BALLARD RD PO BOX 28,SMALLWOOD,NY,12778,53,Sullivan,8455835487,41.664,-74.81218,"{'longitude': '-74.81218', 'latitude': '41.664'}",2180,1095,682
SMITHFIELD FIRE DEPARTMENT,27023,PO BOX 115,PETERBORO,NY,13134,27,Madison,3156843280,42.96727,-75.6856,"{'longitude': '-75.6856', 'latitude': '42.96727'}",2092,670,124
SMITHTOWN FIRE DEPARTMENT,52101,100 ELM AVENUE,SMITHTOWN,NY,11787,52,Suffolk,6312651503,40.852473,-73.195576,"{'longitude': '-73.195576', 'latitude': '40.852473'}",2179,1427,
SMITHVILLE FIRE DEPARTMENT,23041,13727 CO RTE 63,ADAMS,NY,13605,23,Jefferson,3152324160,43.81076,-76.02339,"{'longitude': '-76.02339', 'latitude': '43.81076'}",2089,1469,862
SMYRNA FIRE DEPARTMENT,09018,1 EAST MAIN STREET,SMYRNA,NY,13464,09,Chenango,6076276222,42.67687,-75.61705,"{'longitude': '-75.61705', 'latitude': '42.67687'}",2037,1375,248
SNYDER FIRE DEPARTMENT,15078,4531 MAIN STREET,SNYDER,NY,14226,15,Erie,7168393440,42.962894,-78.782638,"{'longitude': '-78.782638', 'latitude': '42.962894'}",2041,161,308
SODUS CENTER FIRE DEPARTMENT,59021,PO BOX 246,SODUS,NY,14554,59,Wayne,3154836328,43.202096,-77.025272,"{'longitude': '-77.025272', 'latitude': '43.202096'}",631,408,634
SODUS FIRE DEPARTMENT,59019,14-16 MILL STREET,SODUS,NY,14551,59,Wayne,3154834531,43.23536,-77.06207,"{'longitude': '-77.06207', 'latitude': '43.23536'}",631,408,634
SODUS POINT FIRE DEPARTMENT,59022,8364 BAY ST  PO BOX 139,SODUS POINT,NY,14555,59,Wayne,3154839210,43.270339,-76.986413,"{'longitude': '-76.986413', 'latitude': '43.270339'}",631,409,634
SOLVAY FIRE DEPARTMENT,34046,PO BOX 123,SOLVAY,NY,13209,34,Onondaga,3154681313,43.062059,-76.209117,"{'longitude': '-76.209117', 'latitude': '43.062059'}",2132,727,709
SOMERS VOLUNTEER FIRE DEPT,60049,119 PRIMROSE ST PO BOX B,LINCOLNDALE,NY,10540,60,Westchester,9142487422,41.31854,-73.71671,"{'longitude': '-73.71671', 'latitude': '41.31854'}",2185,1345,953
SOUND BEACH FIRE DEPARTMENT,52104,152 SOUND BEACH BLVD,SOUND BEACH,NY,11789,52,Suffolk,6317442151,40.95567,-72.966896,"{'longitude': '-72.966896', 'latitude': '40.95567'}",2179,1429,
SOUTHAMPTON FIRE DEPARTMENT,52102,WINDMILL LANE PO BOX 1435,SOUTHAMPTON,NY,11969,52,Suffolk,6312830072,40.91773,-72.40938,"{'longitude': '-72.40938', 'latitude': '40.91773'}",2179,1130,
SOUTH BAY VOLUNTEER FIRE DEPT,34047,8819 CICERO CENTER RD,CICERO,NY,13039,34,Onondaga,3156992893,43.193937,-76.041651,"{'longitude': '-76.041651', 'latitude': '43.193937'}",2132,357,714
SOUTH BLOOMING GROVE FIRE DEPT,36058,819 RTE 208,MONROE,NY,10950,36,Orange,8454973770,41.368521,-74.188244,"{'longitude': '-74.188244', 'latitude': '41.368521'}",2134,1542,883
SOUTH BUTLER FIRE DEPARTMENT,59020,13048 S BUTLER RD PO BX 153,SOUTH BUTLER,NY,13154,59,Wayne,3153653728,43.13185,-76.76617,"{'longitude': '-76.76617', 'latitude': '43.13185'}",631,687,650
SOUTH BYRON FIRE DEPARTMENT,19016,7389 ROUTE 237 PO BOX 22,SOUTH BYRON,NY,14557,19,Genesee,5855482451,43.04812,-78.06573,"{'longitude': '-78.06573', 'latitude': '43.04812'}",2086,176,797
SOUTH CORNING VOLUNTEER FIRE DEP,51034,7 CLARK STREET,CORNING,NY,14830,51,Steuben,6079375866,42.124126,-77.034094,"{'longitude': '-77.034094', 'latitude': '42.124126'}",2178,1774,41
SOUTH DANSVILLE FIRE DEPARTMENT,51035,1481 DAY ROAD,ARKPORT,NY,14807,51,Steuben,6072959804,42.39426,-77.69659,"{'longitude': '-77.69659', 'latitude': '42.39426'}",2178,1754,35
SOUTH DAYTON FIRE DEPARTMENT,05029,34 MAPLE STREET  PO BOX 88,SOUTH DAYTON,NY,14138,05,Cattaraugus,7169885153,42.361729,-79.04873,"{'longitude': '-79.04873', 'latitude': '42.361729'}",2034,3,372
SOUTH FALLSBURG FIRE COMPANY,53031,17 LAKE ST PO BOX 772,SOUTH FALLSBURG,NY,12779,53,Sullivan,8454342008,41.707201,-74.630067,"{'longitude': '-74.630067', 'latitude': '41.707201'}",2180,1096,676
SOUTH FARMINGDALE FIRE DEPT,30060,819 SOUTH MAIN ST,SOUTH FARMINGDALE,NY,11735,30,Nassau,5162498855,40.716547,-73.435719,"{'longitude': '-73.435719', 'latitude': '40.716547'}",2094,1115,66
SOUTH FLORAL PARK FIRE DEPT,30061,383 ROQUETTE AVENUE,SOUTH FLORAL PARK,NY,11001,30,Nassau,5163547833,40.714225,-73.700347,"{'longitude': '-73.700347', 'latitude': '40.714225'}",2094,859,54
SOUTH GLENS FALLS FIRE COMPANY,46028,7 W MARION AVE,SOUTH GLENS FALLS,NY,12803,46,Saratoga,5187921674,43.29566,-73.63611,"{'longitude': '-73.63611', 'latitude': '43.29566'}",2141,784,
SOUTH HEMPSTEAD FIRE DEPARTMENT,30062,555 MAY STREET,SOUTH HEMPSTEAD,NY,11550,30,Nassau,5165380606,40.683855,-73.620007,"{'longitude': '-73.620007', 'latitude': '40.683855'}",2094,1456,54
SOUTH HORNELL FIRE DEPARTMENT,51036,PO BOX 361,HORNELL,NY,14843,51,Steuben,6073241148,42.32782,-77.6574,"{'longitude': '-77.6574', 'latitude': '42.32782'}",2178,1782,34
SOUTH KORTRIGHT FIRE DEPT,13026,10668 COUNTY HIGHWAY 18,SOUTH KORTRIGHT,NY,13842,13,Delaware,6075389038,42.38792,-74.7337,"{'longitude': '-74.7337', 'latitude': '42.38792'}",2039,459,574
SOUTH LINE FIRE DEPARTMENT,15079,1049 FRENCH ROAD,CHEEKTOWAGA,NY,14227,15,Erie,7166681232,42.867754,-78.713493,"{'longitude': '-78.713493', 'latitude': '42.867754'}",2041,162,304
SOUTH LOCKPORT FIRE DEPARTMENT,32023,5666 S TRANSIT RD,LOCKPORT,NY,14094,32,Niagara,7164344626,43.150573,-78.696939,"{'longitude': '-78.696939', 'latitude': '43.150573'}",2131,930,173
SOUTH MINDEN FIRE DEPARTMENT,29017,1029 STATE HIGHWAY 163,FORT PLAIN,NY,13339,29,Montgomery,5189932093,42.92898,-74.6361,"{'longitude': '-74.6361', 'latitude': '42.92898'}",624,551,495
SOUTH NEW BERLIN FIRE DEPT,09019,PO BOX 164,SOUTH NEW BERLIN,NY,13843,09,Chenango,6078592284,42.53002,-75.38608,"{'longitude': '-75.38608', 'latitude': '42.53002'}",2037,460,275
SOUTHOLD FIRE DEPARTMENT,52103,55135 MAIN RD PO BOX 1469,SOUTHOLD,NY,11971,52,Suffolk,6317653385,41.06192,-72.42825,"{'longitude': '-72.42825', 'latitude': '41.06192'}",2179,1132,
SOUTH ONONDAGA FIRE DEPARTMENT,34048,3130 CEDARVALE ROAD,NEDROW,NY,13120,34,Onondaga,3154921147,42.930411,-76.21426,"{'longitude': '-76.21426', 'latitude': '42.930411'}",2132,663,707
SOUTH OTSELIC FIRE DEPARTMENT,09020,1577 STATE HWY 26 PO BOX 41,SOUTH OTSELIC,NY,13155,09,Chenango,3156534455,42.65152,-75.77114,"{'longitude': '-75.77114', 'latitude': '42.65152'}",2037,692,270
SOUTH PLATTSBURGH FIRE DEPT,10023,PO BOX 2009,PLATTSBURGH,NY,12901,10,Clinton,5187260058,44.651673,-73.444811,"{'longitude': '-73.444811', 'latitude': '44.651673'}",2038,202,3
SOUTHPORT FIRE DEPARTMENT,08014,1001 CARL STREET,ELMIRA,NY,14904,08,Chemung,6077337599,42.059441,-76.809013,"{'longitude': '-76.809013', 'latitude': '42.059441'}",2036,928,480
SOUTH QUEENSBURY FIRE DEPARTMENT,57020,409 DIX AVE,QUEENSBURY,NY,12804,57,Warren,5187928669,43.315593,-73.605437,"{'longitude': '-73.605437', 'latitude': '43.315593'}",2183,785,815
SOUTH SALEM FIRE DEPARTMENT,60050,1190 ROUTE 35 PO BOX 191,SOUTH SALEM,NY,10590,60,Westchester,9147633706,41.274547,-73.564338,"{'longitude': '-73.564338', 'latitude': '41.274547'}",2185,1346,984
SOUTH SCHENECTADY FIRE DEPT,47026,6 OLD MARIAVILLE ROAD,SCHENECTADY,NY,12306,47,Schenectady,5183557722,42.796881,-74.018282,"{'longitude': '-74.018282', 'latitude': '42.796881'}",2142,75,102
SOUTH SCHODACK FIRE DEPARTMENT,42034,1567 BAME ROAD,CASTLETON,NY,12033,42,Rensselaer,5187320536,42.497285,-73.688296,"{'longitude': '-73.688296', 'latitude': '42.497285'}",2138,1158,122
SOUTH SIDE FIRE COMPANY,54018,3120 WAITES ROAD,OWEGO,NY,13827,54,Tioga,6076252948,42.046021,-76.258844,"{'longitude': '-76.258844', 'latitude': '42.046021'}",630,450,59
SOUTH SPRING VALLEY FIRE DEPT,44025,40 RED SCHOOLHOUSE ROAD,SPRING VALLEY,NY,10977,44,Rockland,8454946696,41.081539,-74.055492,"{'longitude': '-74.055492', 'latitude': '41.081539'}",628,1560,535
SOUTH WALES FIRE DEPARTMENT,15080,6406 OLEAN RD  PO BOX 185,SOUTH WALES,NY,14139,15,Erie,7166526659,42.710299,-78.578126,"{'longitude': '-78.578126', 'latitude': '42.710299'}",2041,4,282
SOUTH WILSON FIRE DEPARTMENT,32024,4194 CHESTNUT ST,WILSON,NY,14172,32,Niagara,7167516079,43.24189,-78.81644,"{'longitude': '-78.81644', 'latitude': '43.24189'}",2131,29,141
SOUTHWOOD FIRE DEPARTMENT,34049,PO BOX 365,JAMESVILLE,NY,13078,34,Onondaga,3154695171,42.993596,-76.109848,"{'longitude': '-76.109848', 'latitude': '42.993596'}",2132,630,707
SPAFFORD FIRE DEPARTMENT,34050,660 RTE 41,HOMER,NY,13077,34,Onondaga,6077494422,42.803076,-76.264225,"{'longitude': '-76.264225', 'latitude': '42.803076'}",2132,629,703
SPARKILL FIRE DEPARTMENT,44016,520 ROUTE 340 PO BOX 164,SPARKILL,NY,10976,44,Rockland,8453591324,41.027632,-73.925649,"{'longitude': '-73.925649', 'latitude': '41.027632'}",628,1559,536
SPARROWBUSH FIRE DEPARTMENT,36041,79 MAIN STREET PO BOX 530,SPARROWBUSH,NY,12780,36,Orange,8458565047,41.402635,-74.72745,"{'longitude': '-74.72745', 'latitude': '41.402635'}",2134,1097,878
SPARTA CENTER FIRE DEPARTMENT,26018,5610 SCOTTSBURG-GROVELND RD,SCOTTSBURG,NY,14545,26,Livingston,7163356872,42.618031,-77.682888,"{'longitude': '-77.682888', 'latitude': '42.618031'}",2091,228,747
SPECULATOR FIRE DEPARTMENT,21010,RTE 30 & 8 PO BOX 371,SPECULATOR,NY,12164,21,Hamilton,5185486648,43.55909,-74.35659,"{'longitude': '-74.35659', 'latitude': '43.55909'}",622,1409,867
SPEEDSVILLE FIRE DEPARTMENT,55017,40 MILL ROAD,BERKSHIRE,NY,13736,55,Tompkins,6076572614,42.30488,-76.2523,"{'longitude': '-76.2523', 'latitude': '42.30488'}",2181,1630,726
SPEIGLETOWN VOLUNTEER FIRE CO,42035,146 SPEIGLETOWN ROAD,TROY,NY,12182,42,Rensselaer,5182355431,42.793336,-73.648575,"{'longitude': '-73.648575', 'latitude': '42.793336'}",2138,12,140
SPENCER FIRE COMPANY,54010,PO BOX 507,SPENCER,NY,14883,54,Tioga,6072730322,42.20735,-76.493621,"{'longitude': '-76.493621', 'latitude': '42.20735'}",630,914,57
SPENCERPORT FIRE DEPARTMENT,28039,175 LYELL AVENUE,SPENCERPORT,NY,14559,28,Monroe,7163526115,43.18617,-77.80389,"{'longitude': '-77.80389', 'latitude': '43.18617'}",2093,410,534
SPRING BROOK FIRE DEPARTMENT,15081,70 POUND RD  PO BOX 310,SPRING BROOK,NY,14140,15,Erie,7166522670,42.823391,-78.679874,"{'longitude': '-78.679874', 'latitude': '42.823391'}",2041,515,294
SPRINGFIELD VOL FIRE DEPT,39020,101 CO HWY 29A,SPRINGFIELD,NY,13468,39,Otsego,6075475351,42.84467,-74.85709,"{'longitude': '-74.85709', 'latitude': '42.84467'}",2136,1376,899
SPRING LAKE FD ULSTER NO 1,56045,PO BOX 3578,KINGSTON,NY,12401,56,Ulster,,41.93203,-74.00059,"{'longitude': '-74.00059', 'latitude': '41.93203'}",2182,79,440
SPRINGS FIRE DEPARTMENT,52106,179 FORT POND BOULEVARD,EAST HAMPTON,NY,11937,52,Suffolk,6313249811,41.025954,-72.157952,"{'longitude': '-72.157952', 'latitude': '41.025954'}",2179,1537,
SPRING VALLEY FIRE DEPARTMENT,44017,PO BOX 637,SPRING VALLEY,NY,10977,44,Rockland,8453718411,41.12166,-74.04825,"{'longitude': '-74.04825', 'latitude': '41.12166'}",628,1560,535
SPRINGVILLE FIRE DEPARTMENT,15082,405 WEST MAIN ST PO BOX 12,SPRINGVILLE,NY,14141,15,Erie,7165924487,42.5242,-78.67118,"{'longitude': '-78.67118', 'latitude': '42.5242'}",2041,5,288
SPRINGWATER FIRE DEPARTMENT,26019,8145 SOUTH MAIN STREET,SPRINGWATER,NY,14560,26,Livingston,5856699342,42.629579,-77.598537,"{'longitude': '-77.598537', 'latitude': '42.629579'}",2091,411,746
STAATSBURG FIRE DEPARTMENT,14029,49 OLD POST RD PO BOX 205,STAATSBURG,NY,12580,14,Dutchess,8456569767,41.847995,-73.929022,"{'longitude': '-73.929022', 'latitude': '41.847995'}",2040,1011,569
STAFFORD FIRE DEPARTMENT,19017,6153 MAIN ROAD PO BOX 56,STAFFORD,NY,14143,19,Genesee,5853450938,42.981944,-78.075399,"{'longitude': '-78.075399', 'latitude': '42.981944'}",2086,6,787
STAMFORD FIRE DEPARTMENT,13027,111 MAIN STREET,STAMFORD,NY,12167,13,Delaware,6076527241,42.40873,-74.617847,"{'longitude': '-74.617847', 'latitude': '42.40873'}",2039,1412,564
STANFORD FIRE CO 1,14030,6096 RTE 82,STANFORDVILLE,NY,12581,14,Dutchess,8458681313,41.92469,-73.68508,"{'longitude': '-73.68508', 'latitude': '41.92469'}",2040,1012,610
STANFORD HEIGHTS FIRE DEPARTMENT,01032,2240 CENTRAL AVENUE,SCHENECTADY,NY,12304,01,Albany,5183467948,42.764326,-73.8861,"{'longitude': '-73.8861', 'latitude': '42.764326'}",2030,73,808
STANLEY FIRE COMPANY,35026,PO BOX 481,STANLEY,NY,14561,35,Ontario,7165265087,42.81855,-77.11322,"{'longitude': '-77.11322', 'latitude': '42.81855'}",2133,412,803
STANWIX HEIGHTS FIRE DEPARTMENT,33039,6920 DIX ROAD,ROME,NY,13440,33,Oneida,,43.180786,-75.430934,"{'longitude': '-75.430934', 'latitude': '43.180786'}",625,1366,982
STAR LAKE FIRE DEPARTMENT,45045,4187 RT 3 PO BOX 22,STAR LAKE,NY,13690,45,St. Lawrence,3158483621,44.15736,-75.02992,"{'longitude': '-75.02992', 'latitude': '44.15736'}",2140,1617,344
STEPHENTOWN VOLUNTEER FIRE DEPT,42036,PO BOX 208,STEPHENTOWN,NY,12168,42,Rensselaer,5187335151,42.55089,-73.38694,"{'longitude': '-73.38694', 'latitude': '42.55089'}",2138,1413,121
STEWART MANOR FIRE DEPARTMENT,30063,120 COVERT AVENUE,STEWART MANOR,NY,11530,30,Nassau,5163540880,40.720165,-73.688611,"{'longitude': '-73.688611', 'latitude': '40.720165'}",2094,859,54
STILLWATER FIRE DEPARTMENT,46029,7 WETSEL MANOR ROAD,STILLWATER,NY,12170,46,Saratoga,5186643617,42.938688,-73.65341,"{'longitude': '-73.65341', 'latitude': '42.938688'}",2141,1415,992
STITTVILLE FIRE DEPARTMENT,33040,9069 MAIN ST,STITTVILLE,NY,13469,33,Oneida,3158654531,43.222931,-75.286879,"{'longitude': '-75.286879', 'latitude': '43.222931'}",625,1377,923
ST JOHNSBURG FIRE DEPARTMENT,32020,7165 WARD ROAD,NORTH TONAWANDA,NY,14120,32,Niagara,7166933131,43.077769,-78.889315,"{'longitude': '-78.889315', 'latitude': '43.077769'}",2131,953,143
ST JOHNSVILLE FIRE DEPARTMENT,29016,6 W MAIN STREET,ST JOHNSVILLE,NY,13452,29,Montgomery,5185682121,42.998913,-74.679202,"{'longitude': '-74.679202', 'latitude': '42.998913'}",624,1369,485
STOCKPORT FIRE DEPARTMENT,11027,43 ROUTE 25,HUDSON,NY,12534,11,Columbia,5188284524,,,,,,
STOCKTON FIRE DEPARTMENT,07038,7243 ROUTE 380 PO BOX 12,STOCKTON,NY,14784,07,Chautauqua,7165953068,42.31556,-79.38198,"{'longitude': '-79.38198', 'latitude': '42.31556'}",2035,1745,208
STONE RIDGE FIRE COMPANY,56042,3410 COOPER STREET,STONE RIDGE,NY,12484,56,Ulster,9146879867,41.82392,-74.24057,"{'longitude': '-74.24057', 'latitude': '41.82392'}",2182,80,432
